<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2001.05.31	1.42650	1.42720	1.41600	1.41840	8929	0	50
2001.06.01	1.41840	1.42180	1.41170	1.41750	8965	0	50
2001.06.04	1.41850	1.42170	1.41090	1.41410	7586	0	50
2001.06.05	1.41410	1.41470	1.40620	1.41410	8836	0	50
2001.06.06	1.41420	1.41550	1.38890	1.39060	9494	0	50
2001.06.07	1.39100	1.39360	1.37920	1.39210	9451	0	50
2001.06.08	1.39180	1.39400	1.37720	1.37860	9095	0	50
2001.06.11	1.38220	1.38810	1.37090	1.37330	8812	0	50
2001.06.12	1.37330	1.38020	1.36820	1.37250	8975	0	50
2001.06.13	1.37270	1.39250	1.37080	1.39140	9185	0	50
2001.06.14	1.39140	1.40280	1.38720	1.40210	8770	0	50
2001.06.15	1.40200	1.41090	1.39850	1.40310	8634	0	50
2001.06.18	1.40430	1.40820	1.40040	1.40370	8363	0	50
2001.06.19	1.40350	1.40430	1.39400	1.40130	8426	0	50
2001.06.20	1.40140	1.40190	1.39050	1.39640	9348	0	50
2001.06.21	1.39630	1.41830	1.39480	1.41550	9082	0	50
2001.06.22	1.41550	1.41960	1.40850	1.41330	8774	0	50
2001.06.25	1.41230	1.41800	1.41110	1.41240	7958	0	50
2001.06.26	1.41270	1.41760	1.40980	1.41710	8308	0	50
2001.06.27	1.41720	1.42310	1.41200	1.41720	9113	0	50
2001.06.28	1.41710	1.42000	1.40600	1.40800	9049	0	50
2001.06.29	1.40810	1.41670	1.40300	1.41630	8758	0	50
2001.07.02	1.41610	1.41810	1.40980	1.41700	7200	0	50
2001.07.03	1.41720	1.41770	1.40470	1.40710	8144	0	50
2001.07.04	1.40730	1.40900	1.40190	1.40680	7424	0	50
2001.07.05	1.40680	1.40850	1.39860	1.40330	8321	0	50
2001.07.06	1.40310	1.41280	1.39640	1.41200	7679	0	50
2001.07.09	1.41060	1.41320	1.40500	1.40870	7592	0	50
2001.07.10	1.40870	1.41360	1.40760	1.41170	8200	0	50
2001.07.11	1.41160	1.41920	1.40650	1.40800	8412	0	50
2001.07.12	1.40820	1.41000	1.40330	1.40730	8187	0	50
2001.07.13	1.40740	1.40790	1.39780	1.40450	8676	0	50
2001.07.16	1.40350	1.40440	1.39760	1.39950	8274	0	50
2001.07.17	1.39950	1.40670	1.39270	1.40250	9327	0	50
2001.07.18	1.40070	1.42220	1.39940	1.42150	10052	0	50
2001.07.19	1.42170	1.43210	1.41370	1.42950	10342	0	50
2001.07.20	1.42960	1.43570	1.42600	1.42790	9099	0	50
2001.07.23	1.42390	1.42610	1.41740	1.42050	9545	0	50
2001.07.24	1.42030	1.42590	1.41530	1.42100	9242	0	50
2001.07.25	1.42090	1.42960	1.41860	1.42740	9514	0	50
2001.07.26	1.42740	1.43170	1.42480	1.42720	8984	0	50
2001.07.27	1.42720	1.43070	1.42240	1.42380	8946	0	50
2001.07.30	1.42260	1.42790	1.42060	1.42620	8444	0	50
2001.07.31	1.42620	1.43070	1.42310	1.42520	8843	0	50
2001.08.01	1.42510	1.43510	1.42450	1.43420	9303	0	50
2001.08.02	1.43400	1.43610	1.42760	1.43170	9329	0	50
2001.08.03	1.43190	1.43230	1.42490	1.42930	8503	0	50
2001.08.06	1.42830	1.42850	1.41680	1.41810	8464	0	50
2001.08.07	1.41810	1.41990	1.41210	1.41620	9178	0	50
2001.08.08	1.41680	1.41900	1.41270	1.41690	9204	0	50
2001.08.09	1.41650	1.42870	1.41300	1.42560	8710	0	50
2001.08.10	1.42550	1.42850	1.42250	1.42310	8602	0	50
2001.08.13	1.42360	1.42770	1.41880	1.42030	8860	0	50
2001.08.14	1.42010	1.43030	1.41640	1.42880	9129	0	50
2001.08.15	1.42860	1.44150	1.42740	1.44060	9900	0	50
2001.08.16	1.44060	1.45220	1.43950	1.44330	10479	0	50
2001.08.17	1.44370	1.44880	1.43930	1.44510	9195	0	50
2001.08.20	1.44500	1.44780	1.44270	1.44400	9198	0	50
2001.08.21	1.44400	1.45560	1.44310	1.45450	9889	0	50
2001.08.22	1.45410	1.45910	1.44760	1.44850	9974	0	50
2001.08.23	1.44870	1.44950	1.44320	1.44680	8730	0	50
2001.08.24	1.44690	1.44860	1.44060	1.44280	8367	0	50
2001.08.27	1.44330	1.44570	1.44070	1.44340	7826	0	50
2001.08.28	1.44350	1.45420	1.43740	1.45400	9451	0	50
2001.08.29	1.45330	1.45770	1.44930	1.45150	8962	0	50
2001.08.30	1.45080	1.46070	1.44770	1.45700	9294	0	50
2001.08.31	1.45770	1.46270	1.44950	1.45420	9905	0	50
2001.09.03	1.45280	1.45680	1.45090	1.45400	8613	0	50
2001.09.04	1.45400	1.45530	1.44110	1.44410	9886	0	50
2001.09.05	1.44390	1.45900	1.44040	1.45730	9781	0	50
2001.09.06	1.45720	1.45790	1.44610	1.45710	10677	0	50
2001.09.07	1.45680	1.46370	1.44980	1.46100	9559	0	50
2001.09.10	1.46080	1.46870	1.45600	1.45620	9021	0	50
2001.09.11	1.45610	1.47810	1.45300	1.47600	10715	0	50
2001.09.12	1.47540	1.47800	1.46170	1.46780	9647	0	50
2001.09.13	1.46780	1.47360	1.46490	1.47140	9655	0	50
2001.09.14	1.47100	1.47920	1.46600	1.47210	9980	0	50
2001.09.17	1.47400	1.47840	1.46230	1.46550	10091	0	50
2001.09.18	1.46520	1.47130	1.45930	1.46760	10266	0	50
2001.09.19	1.46800	1.47280	1.46190	1.46830	8699	0	50
2001.09.20	1.46830	1.46960	1.46270	1.46600	8808	0	50
2001.09.21	1.46580	1.46630	1.45150	1.45680	9020	0	50
2001.09.24	1.45560	1.46670	1.45270	1.46350	7966	0	50
2001.09.25	1.46350	1.47160	1.45980	1.47010	8516	0	50
2001.09.26	1.47020	1.47750	1.46980	1.47480	10180	0	50
2001.09.27	1.47460	1.47710	1.47100	1.47440	9701	0	50
2001.09.28	1.47450	1.47490	1.46530	1.47440	10123	0	50
2001.10.01	1.47240	1.48180	1.46980	1.47880	9300	0	50
2001.10.02	1.47900	1.48130	1.46180	1.46830	9056	0	50
2001.10.03	1.46810	1.47920	1.46640	1.47670	9778	0	50
2001.10.04	1.47660	1.47890	1.46970	1.47650	9282	0	50
2001.10.05	1.47680	1.48450	1.47380	1.48420	8773	0	50
2001.10.08	1.48310	1.48340	1.47090	1.47410	8377	0	50
2001.10.09	1.47410	1.47470	1.45510	1.45810	9017	0	50
2001.10.10	1.45790	1.46030	1.44840	1.45140	9356	0	50
2001.10.11	1.45130	1.45280	1.43970	1.44510	9063	0	50
2001.10.12	1.44510	1.45420	1.44410	1.45200	8752	0	50
2001.10.15	1.45210	1.45420	1.44630	1.44860	8988	0	50
2001.10.16	1.44850	1.45060	1.44220	1.44880	9021	0	50
2001.10.17	1.44900	1.45250	1.44370	1.44660	8764	0	50
2001.10.18	1.44700	1.45070	1.44180	1.44400	9044	0	50
2001.10.19	1.44390	1.44420	1.43220	1.43330	9107	0	50
2001.10.22	1.43400	1.43590	1.42090	1.42460	9250	0	50
